Restaurant ID,Country Code,City,Restaurant Name & Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines
17284404,216,Albany,"Austin's BBQ and Oyster Bar,2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,"BBQ, Burger, Seafood"
17284203,216,Albany,"BJ's Country Buffet,2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,"American, BBQ"
17284105,216,Albany,"Cookie Shoppe,115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.154,31.5772,
17284302,216,Albany,"El Vaquero Mexican Restaurant,2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,Mexican
17284397,216,Albany,"Elements Coffee Co - Northwest,2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,"Coffee and Tea, Sandwich"
17284211,216,Albany,"Pearly's Famous Country Cookng,814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",-84.1759,31.5882,
17284094,216,Albany,"Chick-fil-A,2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2193,31.616,Fast Food
17284409,216,Albany,"Guang Zhou Chinese Restaurant,1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2091458,31.6155186,"Asian, Chinese, Vegetarian"
17284139,216,Albany,"Harvest Moon,2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany",-84.205718,31.604905,"Pizza, Bar Food, Sandwich"
17284403,216,Albany,"Henry Campbell's Steakhouse,629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.223278,31.612121,"Steak, Tapas, Bar Food"
17284145,216,Albany,"Hong Kong Cafe,2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2191,31.6156,"Chinese, Seafood, Vegetarian"
17284150,216,Albany,"House of China Restaurant II,2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",-84.212,31.6104,Chinese
17284158,216,Albany,"Jimmie's Hot Dogs,204 S Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.1534,31.5751,
17284175,216,Albany,"Locos Grill & Pub,547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2228,31.6077,"American, Burger, Sandwich"
17284179,216,Albany,"Longhorn Steakhouse,2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2229,31.6185,"American, Steak"
17284197,216,Albany,"Mikata Japanese Steakhouse,2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2164,31.6137,"Japanese, Steak, Sushi"
17284241,216,Albany,"Shogun Japanese Steak House,629 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2233,31.6118,"Japanese, Steak, Sushi"
17284390,216,Albany,"The Catch Seafood Room & Oyster Bar,2332 Whispering Pines Road, Albany, GA 31707",Albany,"Albany, Albany",-84.205025,31.605882,"Seafood, Tapas, Bar Food"
17284279,216,Albany,"Villa Gargano,1604 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",-84.1757,31.5985,"Italian, Pizza"
17284364,216,Albany,"3 Squares Diner,202 W Franklin St, Sylvester, GA 31791",Sylvester,"Sylvester, Albany",-83.8389,31.5308,"American, Breakfast, Diner"
17293281,216,Athens,"Last Resort Grill,184 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens",-83.378273,33.957999,"American, Southern, Southwestern"
17293301,216,Athens,"Mama's Boy Restaurant,197 Oak St, GA 30601",Athens,"Athens, Athens",-83.3654,33.9535,Southern
17293409,216,Athens,"Sr. Sol 1,175 Tallassee Rd, Athens, GA 30606",Athens,"Athens, Athens",-83.4293,33.9652,Mexican
17293163,216,Athens,"Choo Choo Eastside,1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Athens, Athens",-83.3389,33.9259,"Japanese, Korean"
17293228,216,Athens,"The Grill,171 College Ave, Athens, GA 30601",Athens,"Athens, Athens",-83.375523,33.958198,"Breakfast, Burger, Sandwich"
17293880,216,Athens,"Big City Bread Cafe,393 N Finley St, Athens, GA 30601",Athens,"Athens, Athens",-83.384004,33.959392,"Breakfast, Sandwich"
17293169,216,Athens,"Clocked,259 W Washington St, Athens, GA 30601",Athens,"Athens, Athens",-83.3797,33.9584,"American, Burger, Sandwich"
17293186,216,Athens,"DePalma's Italian Cafe - Downtown,401 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",-83.373596,33.958112,"American, Italian, Pizza"
17293180,216,Athens,"DePalma's Italian Cafe - East Side,1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"Athens, Athens",-83.33995,33.924275,"American, Italian, Pizza"
17293205,216,Athens,"Five & Ten,1073 South Milledge Ave, Athens, GA 30605",Athens,"Athens, Athens",-83.3872482,33.9415545,American
17293229,216,Athens,"Grit,199 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens",-83.381625,33.960112,"International, Southern, Vegetarian"
17293897,216,Athens,"Ike & Jane,1307 Prince Ave, Athens, GA 30606",Athens,"Athens, Athens",-83.400887,33.963296,Sandwich
17293273,216,Athens,"La Dolce Vita Ristorante,323 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",-83.4075,33.9584,Italian
17293870,216,Athens,"Shokitini,251 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens",-83.379251,33.957503,"Asian, Japanese, Sushi"
17293877,216,Athens,"Taqueria Del Sol,334 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens",-83.383605,33.960571,"Mexican, Spanish"
17293890,216,Athens,"The National,232 W. Hancock Ave., Athens, GA 30601",Athens,"Athens, Athens",-83.37967,33.959468,"International, Southern"
17293915,216,Athens,"The Royal Peasant,1675 S. Lumpkin St., Athens, GA 30606",Athens,"Athens, Athens",-83.38728,33.937502,Bar Food
17293422,216,Athens,"Transmetropolitan,145 E Clayton St, Athens, GA 30601",Athens,"Athens, Athens",-83.3764,33.9584,"Italian, Pizza, Sandwich"
17293873,216,Athens,"Trappeze Pub,269 N Hull St, Athens, GA 30601",Athens,"Athens, Athens",-83.378881,33.958363,"Burger, Bar Food"
17294014,216,Athens,"Viva! Argentine Cuisine,247 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens",-83.3828224,33.9600227,"Desserts, Latin American, Argentine"
17294556,216,Augusta,"Miyabi Kyoto Japanese Steak House,1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.0865,33.4721,"Chinese, Steak"
17294607,216,Augusta,"Rae's Coastal Cafe,3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.0698,33.4791,"American, Caribbean, Seafood"
17294279,216,Augusta,"The Bee's Knees,211 10th Street, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.97,33.4765,"International, Tapas, Vegetarian"
17294300,216,Augusta,"Boll Weevil Cafe,10 9th St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.9684,33.474,"Desserts, Sandwich, Southern"
17295215,216,Augusta,"Farmhaus Burger,1204 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.973006,33.477444,"American, Burger"
17295028,216,Augusta,"Manuel's Bread Cafe,505 Railroad Ave, North Augusta, GA 29841",Augusta,"Augusta, Augusta",-81.965571,33.481779,"Breakfast, French"
17294642,216,Augusta,"Sconyers Bar B Que,2250 Sconyers Way, Augusta, GA 30906",Augusta,"Augusta, Augusta",-82.0327,33.4086,BBQ
17295109,216,Augusta,"Frog Hollow Tavern,1282 broad street, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.974944,33.478231,American
17294441,216,Augusta,"Giuseppe's Pizza & Italian Specialities,3690 Wheeler Rd, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.096,33.4827,"Desserts, Italian, Pizza"
17294552,216,Augusta,"Mellow Mushroom,1167 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.9721,33.4778,"Italian, Pizza, Sandwich"
17294565,216,Augusta,"Nacho Mamas Burritos,976 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.9694,33.4764,Mexican
17294623,216,Augusta,"Rhinehart's Oyster Bar,3051 Washington Rd, Augusta, GA 30907",Augusta,"Augusta, Augusta",-82.0505,33.5133,"Bar Food, Sandwich, Seafood"
17294712,216,Augusta,"Takosushi,437 Highland Ave, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.0301,33.4848,"Mexican, Southwestern, Sushi"
17295033,216,Augusta,"The Chop House,Augusta Mall, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.080788,33.467201,Steak
17295069,216,Augusta,"The Taj of India,502 Furys Ferry Rd, Augusta, GA 30907",Augusta,"Augusta, Augusta",-82.0805493,33.5375868,Indian
17294261,216,Augusta,"Augsburg Haus,4460 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",-82.143793,33.544342,German
17295115,216,Augusta,"Pho Bac,4300 Towne Centre, Evans, GA 30809",Evans,"Evans, Augusta",-82.126161,33.532249,Vietnamese
17294836,216,Augusta,"Rhinehart's Oyster Bar,303 North Bel Air Rd, Evans, GA 30809",Evans,"Evans, Augusta",-82.141284,33.521291,"Burger, Seafood"
17294850,216,Augusta,"Thai Kitchen,4357 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",-82.1328,33.5406,Thai
17294883,216,Augusta,"El Kiosco Mexican Restaurant,5174 Wrightsboro Rd, Grovetown, GA 30813",Grovetown,"Grovetown, Augusta",-82.1997,33.4574,Mexican
17303465,216,Boise,"Bardenay,610 W Grove St, Boise, ID 83702",Boise,"Boise, Boise",-116.2019,43.6138,"American, Bar Food"
17303642,216,Boise,"Flatbread Neapolitan Pizzeria,800 W Main Suite 230, Boise, ID 83702",Boise,"Boise, Boise",-116.203466,43.616068,"Italian, Pizza"
17303670,216,Boise,"Goldy's Breakfast Bistro,108 S Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise",-116.2023,43.6149,"Breakfast, Sandwich"
17303545,216,Boise,"Chandlers Steakhouse,981 W Grove St, Boise, ID 83702",Boise,"Boise, Boise",-116.2064,43.6157,"American, Seafood, Steak"
17303655,216,Boise,"Bar Gernika Basque Pub & Eatery,202 S Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise",-116.2031,43.614,"European, Spanish"
17304691,216,Boise,"Barbacoa Restaurant,276 Bobwhite Ct, Boise, ID 83706",Boise,"Boise, Boise",-116.185034,43.597235,"Latin American, Steak"
17303478,216,Boise,"Big Jud's,1289 Protest Rd, Boise, ID 83706",Boise,"Boise, Boise",-116.2062,43.5945,"American, Burger, Sandwich"
